"","x"
"292","deluxe media creative hiring re looking talented artistsanimators join team bring unique vision projects button pushers need apply chance part awardwinning group producers creative directors art directors collaborating blockbuster theatrical releases premier broadcast titles cutting edge interactive mobile design involved entire process initial concepts storyboards final animation work alone teams execute projects fun along way think right candidate apply today skills years professional design experience home entertainment experience plus bluray mobile experience big plus strong concept development storyboarding wireframing animation ui design adobe photoshop illustrator flash design plus required independent thinker high level ingenuity qualifications like join team"
"293"," leading company centreville va looking interactive designer years experience join team responsibilities design apps mobile internet products brainstorm internal external clients design team participate product usability tests translate results requirements strong ability change ideas action strong project managementorganizational skills knowledge ui design principles proficient adobe cs proficient html xml css knowledge web technologies application web servers net etc"
"294"," leading global fitness company seeking talented passionate interactive designer join internal marketing team direction creative director interactive designer responsible ollaborating crossfunction teams designs concept launch will create intuitive engaging design solutions broad range user experiences including web uiux product gui design emails digital marketing campaigns anything designrelated brands globally recognized will accept best strive expand knowledge mentor others produce worldclass creative solutions like talk education bachelors degree graphic design art marketing communications related field experience years professional experience interactive firm design studio house marketing department advertising agency similar organization designing compelling experiences websites mobile responsive product user interfaces digital initiatives strong command layout principles aesthetic design concepts branding typography careful attention detail solid understanding user centered design principles competent adobe design suite experience interface prototyping tools solid understanding capabilities constraints platforms web smartphones tablets browsers html javascript designing ecommerce agency experience plus requirements recent digital portfolio interaction design samples required apply mobileresponsive strong plus mac based basic understanding microsoft word excel powerpoint strong command adobe design suite htmlcss skillsknowledgeparameters definite plus domestic travel responsibilities design process develop bestclass interactive experiences creative group present user experience interface concepts design approaches clearly convincingly present user experience interface concepts design approaches clearly convincingly ability collaborate frontend web developers concept produce final designs digital works web developers creative director determine appropriate workflows provides web optimized graphic support web properties works marketing managers web team produce effective content global brand websites ecommerce initiatives direct marketing campaigns project management project management responsibilities including planning evaluating organizing integrating projects relies experience judgment plan accomplish goals assist marketing team needed overseeing projects project management develop industry knowledge network stays date industry trends styles involved peers professional development classes associations strives constantly improve skill sets interaction design best practices etc marginal job functions complete special projects required assist marketingsales teams image requests project management leadership functions engages typical responsibilities planning evaluating organizing integrating project encourages designers pms copywriters marketing managers provide accurate content support interactive workflow"
"295"," client company dallas looking interactive designer onsite ongoing freelance assignment ideal candidate will years experience interactive design looking strong creatives ability work within brand standards think creatively solve specific design problems digital space responsibilities include websites microsites emails web banners mobile sites applications must skilled creative suite working knowledge html css "
"296"," interactive designer conceptual designer effective aesthetically pleasing functional interactive guided usercentered principles role creates user experiences incorporate information architecture information design brand requirements also serves mentor interactive department key responsibilites work collaboratively entire project team understand client requirements interpret creative briefs wireframes specification documents translate interactive designs visually attractive appropriate medium drive business results meeting enduser needs participation user experience team required enhance user experience based real world testing scenarios coordinates communicates technical strategic project management team stages design present creative concepts rationale effectively persuasively customers constituents learn follow interactive design best practices processes communicates status projects broader agency team stays current trend industry paying particular attention current graphic techniques advances design software participates industry associations enters awards qualifications knowledge skills abilities demonstrated ability design aspects digital media strong conceptual abilities attention detail selfdirected responsible able meet deadline budget requirements strong typography foundational design skills composition color integrate interactive design work part larger online offline communications campaigns developed client communications external agencies ability work within establish brand lookfeel minimum years experience working interactioninterface design babs bfamfa degree interaction design human factors graphic design related experience strong understanding css html knowledgefamiliarity web development environments including xhmtlcssp ability design appropriately related benefits constraints additional benefit"
"297","job description client software company suburbs looking interactive designer join creative team full time position responsibilities designing developing website comps email marketing designs designing web layouts keeping functionality mind updating site content graphics monitoring web performance results requirements years interactive design experience full proficiency htmlcss photoshop indesign illustrator strong knowledge layout typography image optimization branding general design standards web ability work fastpaced environment"
"298","envoy looking key players will work closely art directors creative directors create engaging interactive sites brand experiences digital media generate innovative ideas design solutions digital design projects including interfaces web mobile web apps digital experiences responsibilities develop creative concepts creative briefs conceptualize execute creative design solutions broad range clients internal projects design simple beautiful interfaces interactions present clear ideas concepts clients team members collaborate art directors creative directors together qualifications online portfolio showcasing innovative concepts creative design solutions strong conceptual thinking ability communicate ideas proficient design tools photoshop illustrator etc eagerness grow learn team filled creative people bonus extended skillset includes things like d modeling motion graphic videography photography"
"299","joystick interactive interactive creative production agency specializing digital marketing creative work worlds biggest brands solid reputation industry working brands directly well agencies publishers technology providers offices new york los angeles london expanding team keep increased demand wide range capabilities play different roles different clients looking people interested growing company across new york los angeles based teams great opportunities anyone entrepreneurial spirit looking grow small independently owned company responsibilities work alongside creative director art directors develop ideas solutions clients coordinate project managers team implement designs projects requirements years industry experience agency preferred extensive knowledge online advertising rich media ads including best practices limitations exceptional portfolio showing strong layout design typography understands principles animation apply attention detail passion creating pixel perfect designs understanding web technologies interact handle stress tight deadlines smile strong communication skills bonus points game design experience motion graphics experience adobe effects video editing experience experience d software package perks competitive salary health benefits"
"300","provides creative graphic solutions company retail trade web portals advertisement promotional banners email blasts essential duties responsibilities creates standardscompliant crossbrowser compatible representations approved designs accuracy creates original page layouts designs creates additional pages sites stylistically accurately reflect approved pagessites collaborates user experience design teams effectively create maintain implement enforce style guides standards reusable templates best practices clientside coding develops rapid prototypes experimental versions new concepts products monitors trends new technologies evaluate possible adoption collaborates internal business analysts business owners integral part marketing creative departments short longterm projects maintains quality user interface focus achieve standards user experience design assists write clientside code necessary complies company policies procedures performs duties needed primary contacts outside dept product managers department managers executive management team supervisory responsibilities none may direct train others education experience bachelors degree web design web technology related field two three years experience webbased coding usercentric design systems website application development combination equivalent experience education training skills proficiency ms office products adobe creative suite photoshop illustrator fireworks css xhtml javascript moderate moderate levels english reading comprehension speaking writing active listening monitoring critical thinking evaluation judgment originality attention detail"
"301"," client university city looking interactive designer join team offsite freelance assignment lasting end year working universitys marketing team will responsible redesigning building number instructional graphics specific educational online program will responsible taking existing powerpoint slides data transforming compelling images must years interactive design experience full proficiency indesign photoshop html css javascript"
"302"," client interactive media company city looking interactive designer strong interactive design skills responsibilities prototype support multiple products platforms including web mobiletablet settop box frontend production prototypinghtml flash prototyping interface design qualifications minimum yrs interactive experience mobile preferred ability prioritize multiple projects deadline driven setting expert knowledge cs fireworks css omnigraffle visio dreamweaver plus bachelors degree design ia equivalent"
"303","responsible contributing creative services team creating compelling user experiences visual designs duties responsibilities work internal creative services team design new exciting mobile experiences create execute functional designs mobile devices including limited iphone ipad android windows phone lead projects supervision creative director senior team members successfully communicate design concepts ideas rationale contribute team effort accomplishing related results needed required skills strong understanding design principles capable managing variety projects concurrently excellent problemsolving skills ability think logically able take direction follow established styles able communicate design intent written form mock ups able work effectively small teams able manage ones time efficiently able shift priorities needed knowledge mobile device recognition plus educationexperience bachelors degree equivalent work experience required must online portfolio years experience photoshop required years experience htmlcssphp required experience svn plus"
"304","fender musical instruments corporation fmic looking senior interactive designer join marketing communications team scottsdale az headquarters position work will viewed millions musicians music enthusiasts worldwide will contribute overall look feel navigation user interactivity fmics website development initiatives across multiple brands ll work members web team marketing department design implement largescale brand websites online giveaways promotions standalone microsites mass email marketing campaigns requirements bachelors degree graphic design web design related field preferred equivalent experience years experience providing interactive design support large professional corporate websites must possess excellent design skills highly proficient photoshop illustrator dreamweaver flash strong proficiency html css required excellent communication collaboration skills proven time management organizational skills must able work within team context independently minimal direction required ability multitask projects meet competing deadlines fastpaced dynamic environment"
"305","currently seeking interactive designer tampa fl bisk education bisk education rapidly growing company facilitates promotion online delivery degree certificate programs nations leading traditional universities general summary interactive designer id primarily responsible consistent creative execution multichannel marketing strategies design front end development interactive designer id main responsibility maintenance modification enhancement websites landing pages email involves working closely designers art directors using semantic markup language e xtmtlcss turn static photoshop designs working browser based web pages ll also work closely serverside developers implement serverside code order develop complex interactive database driven websites responsibilities discussing technical solutions clients directors providing innovative new ideas solutions maintaining high awareness industry issues trends particularly regard accessibility usability emerging technologies keep team members informed appropriate view incorporating future projects staying ahead market position company digital specialist constantly seeking develop learning new technologies keeping abreast markets developments work creative team leader management developing requirements technical specifications architecture dynamic user generated interfaces adhering brand strategy aesthetics act liaison outside technology departments marketing communicate achieve business initiatives responsible rapid deployments accurate execution creative campaigns interactive initiatives throughout existing future product lines successful conceptualization planning execution performance driven creative multichannel campaigns regularly provide insights market trends competitive products provide input guidance advertising creative marketing strategies data analysis communication enhancement strategies develop explore lead generating creative support brand marketing strategies ensure timely accurate delivery projects creating editing modifying templates cms web development framework requirements experience responsive design mobile best practices excitement emerging web technologies html css understanding uiux design implementation advanced understanding adobe creative suite creative cloud excellent html xhtml css programming skills best practices css file organization structure developing crossbrowser crossplatform compatible solutions experience integrating serverside code produce dynamic pages good understanding web accessibility mobile knowledge html email best practice desirable experience ajax techniques plus basic understanding javascript php jquery plus knowledge skills abilities required minimum years relevant work experience programming development designing interactive marketingcommunication web based systems strong organization analytical skills strong communication skills understand problem defined understand business variables associated present strong longterm solution strong interpersonal skills team oriented proactive strong project management leadership skills ability drive consensus among divergent groups education required bachelors degree relative work experience declarations intended inclusive list duties responsibilities skills abilities required perform job rather intended describe general nature job reasonable representation activities requirements perform proud offer comprehensive competitive benefits package meet needs employees benefits include medical prescription vision dental life insurance long term disability flexible spending plans k vacation holidays bisk education employees may take classes pay college tuition value"
"306"," someone loves designing beautiful experiences digital storyteller passion bringing content life growing interactive team looking innovative hybrid designerdeveloper ideal candidate understands principles design including use color space typography also keen eye desktop mobile layout addition able handcode clean semantic html css interactive designer work closely editorial designers developers conceptualize build variety enterpriselevel projects products tools job responsibilities design frontend development act liaison editorial development collaborate project managers information architects gather project requirements translate wireframes userfriendly design comps iterate based art direction turn designs functional prototypes using html css team developers integrate prototypes frameworks tight deadlines optimize needed test interactives across browsers desktop ipad minimum requirements fouryear degree interactive media web design related field years digital work experience kick ass online portfolio including mobile projects proficiency photoshop illustrator comfortable prototyping using html css coding editor javascript plus produce results independently collaboratively team clearly communicates ideas vision team members clients self motivated takes direction well ability manage multiple projects start finish positive cando attitude bonus required journalism background javascript python experience familiar django git versioning control mobile development"
"307"," looking information architect available interview immediately alpharetta major telecommunications company will responsible gathering understanding requirements translatingdeveloping ia documentation including site maps user flow diagrams wireframes sketches digital experiences across many channels web mobile tablet social digitaloutofhome responsibilities include leading user research usability testing concept testing requirement sessions conducting competitive audits market research requirements experience creating experiences across web mobile tablet social dooh channels experience using web analytics data conducting user research translating design decisions least years experience ia ability execute ia complex interfaces cms templates axonomies metadata frameworks knowledge visio omnigraffle indesign axure ms office"
"308","kforce seeking information architect ux specialist newton massachusetts ma wellestablished industry leading firm will play key role design development worldclass corporate websites mobile web applications person will work closely crossfunctional teams stakeholders gather requirements deliver high quality user experience responsibilities role will include creation information architecture interaction design documents including wireframes site maps user scenarios exciting opportunity right candidate interested making major contribution development execution creative design mobile web based offerings successful applicant will possess following requirements years professional ux design experience preferably enterprise environment ux design experience mobile applications ability design intuitive interfaces enhance user experience knowledge design tools dreamweaver visio strong written verbal communication skills knowledge agile development methodologies bsba degree"
"309","headquartered san jose ca successful wireless networks based company offering broadband solutions companies worldwide experiencing steady growth looking add ui developer team someone possesses exceptional work ethic solid passion talented driven see big picture want join leading tech company love opportunity tell amazing opportunity develop webbased user interface machinemachine controller cloud service including energy management applications dashboards device management design new user interface components develop embedded web pages device provisioning machine control ui testing crossbrowser need position strong graphic design skills focused overall user experience strong javascript coding skills experience javascript libraries modelviewcontroller architectures jquery jquery ui backbonejs web protocol experience html css long polling web sockets graphic editing skills wireframes icons fonts make enterprise carrier grade networking related products easy install maintain products fanatic user base widely used countries throughout world public company can offer great pay perks benefits"
"310"," lead ux designer applies principles design thinking lead conceptualization engaging valuable user experiences will design intuitive user interfaces variety platforms including desktop computers tablets mobile devices will represent end user evangelize usercentered methodologies across product team ensure design truly meets peoples needs gain deep understanding user needs goals communicate cross functional product teams collaborate product team envision exceptional product experience based understanding user needs business objectives technical constraints manage creation task flows wireframes prototypes interaction design deliverables test ideas rapidly incorporate user feedback manage creation visually stunning interfaces make emotional connections users communicate brand manage creation assets specifications guidance implementation user interface throughout development process need position years experience designing experiences complex data driven web mobile applications passion field user experience experience facilitating activities gather insights user needs goals conducting usability testing"
"311"," sr ux designer applies principles design thinking conceptualize engaging valuable user experiences will design intuitive user interfaces variety platforms including desktop computers tablets mobile devices will represent end user evangelize usercentered methodologies across product team ensure design truly meets peoples needs gain deep understanding user needs goals communicate cross functional product teams collaborate product team envision exceptional product experience based understanding user needs business objectives technical constraints create task flows wireframes prototypes interaction design deliverables test ideas rapidly incorporate user feedback create visually stunning interfaces make emotional connections users communicate brand provide assets specifications guidance implementation user interface throughout development process need position proven track record designing exceptional experiences complex data driven web mobile applications passion field user experience self motivated enthusiastic rarely needs guidance knows necessary seeks experience facilitating activities gather insights user needs goals conducting usability testing experience finding simple innovative solutions complex problems short period time experience agile methodologies"
"312"," ux engineer works collaboratively rest product design development team rapidly develop user interface prototypes ux engineer takes concepts drawings digital assets data provided ux designers implements working prototype ux engineer deep level frontend coding skills eye design detail working knowledge product development ux best practices collaborate product managers developers ux designers prototype product vision conceptualize original ideas bring simplicity usability complex interface challenges create reusable prototype web components iterate prototype faster feedback loops present prototypes deliverables peers executive level stakeholders share code documentation projects promote user experience development guidelines best practices standards need position years semantic html css javascript experience including jquery ajax proficiency photoshop illustrator visual design wireframing tools proficiency git gruntjs css pre processors angularjs another mvc javascript framework nodejs another server side technology experience cross browserdevice compatibility"
"313"," client digital agency seeking freelance interactive designer join team asap candidate will designing microsites landing pages primary focus web banners major entertainment brand said must good sense takes make good animated banner piece will asked create storyboards will used animation development team attention detail also crucial ideal candidate will agency experience able demonstrate strong design aesthetic banner design experience also required entertainment sports experience definitely nicetohave flash animation skills definitely huge plus"
"314"," interactive developer id primarily responsible implementation multichannel marketing strategies position demands strong creative background interactive technology skills basic business understanding initiative meet company goals position must demonstrate capability management multiple brandproduct lines associated multichannel marketing materials including limited ecommerce website families lead generation portal systems applications segmented micro sites multichannel media campaigns seo traffic driving components news feed systems email campaigns video libraries etc strong understanding branding well capability manage various associated marketing assets imperative familiarity analytics driven environments associated reporting tools preferred e google analytics omniture suite sitecatalyst testtarget silverpopexacttarget atlas etc experience cms systems analytic reports variable testing segmentation optimize measure creative performance beneficial ideal candidate position must thorough understanding website architecture execution processes excellent communication documentation skills position demands strong interactive development skills depth knowledge css html javascript jquery basic understanding php plus advanced understanding adobe creative suite photoshop illustrator dreamweaver microsoft office tools required principal duties responsibilities responsible implementing interactive marketing assets including websites landing pages email campaigns ecatalog direct response marketing tools develop explore lead generating creative support brand marketing strategies well ensure timely accurate delivery projects regularly provide insights market trends competitive products provide input guidance advertising creative marketing strategies data analysis communication enhancement strategies provide recommendations improvement regarding creative performance advertising campaigns upon analysis user interaction response rates conversion rates demographics key performance indicators provided document communicate daily updates project status associated applied timelines responsibility rapid deployments accurate execution interactive marketing applications campaigns interactive initiatives throughout existing future product lines design develop mobile assets using responsive design adaptive design etc setup implement creative testing b testing mvt testing using industry standard toolsets knowledge skills abilities required minimum years relevant work experience interactive development strong organization analytical skills strong oral written communication skills strong interpersonal skills team oriented proactive strong project management leadership skills ability drive consensus among divergent groups development experience executing creative strategies areas interactive media direct marketing websites printcollateral"
"315"," position will join small team build single web publishing platform network alternative weekly papers ground will responsible designing user experience implementing design using javascript best practices goal flexible modern news events platform provides great reader experience simplifying management editorial sales advertising staff system built team will work writers editors help develop custom engaging reader experiences immersive stories interactive data features must years javascript strong knowledge js libraries ecosystems strong knowledge html css general graphic design skills nice experience javascript unit testing experience ux design experience news media industry"
"316","job details front end developer years experience please read top reasons work us month partner leaders nutrition fitness social capital positivity introduced favorite products receive easyapply guidance lifestyle past curators include brendan brazier ruby roth jason wrobel organizations like planet will understands key serverside web development concepts experiences interpreting graphic visual interaction designs html css javascript creating visually appealing web pages interfaces creating editing modifying templates cms web development framework programming interaction javascript library jquery yui prototype testing crossbrowser crossplatform crossdevice compatibility inconsistencies testing compliance specified standards accessibility standards clients region domain conducting observational user testing reviewing designs usability heuristics need position html csscsscss jquery javascript php"
"317","job details front end developer years experience please read located near raleigh nc innovative website marketing solutions provider currently looking front end web developer create theme websites using drupal need position frontend development experience content management experience including cck views jquery php css help us better serve new existing clients experience drupal themes responsive web design eye design ux huge plus understand basics graphic design huge plus create theme websites utilizing drupal framework consulting clients create innovative responsive web sites competitive salary benefits front end developer years experience please apply today"
"318","overview client ecommerce leader looking front end developers join team contract contract hire permanent basis downtown chicago location person will responsible architecting developing frontend solutions including htmlcss templates javascript ajax code mobile application support mobile optimized sites rich media production integration many projects will lead collaboration design backend development teams strong visual eye understanding design concepts necessary perspective front backend technologies impact design process essential duties responsibilities produce htmlcss templates design documentation integrating desktop mobile websites web applications understand crossbrowser crossplatform concepts concerns assist development standards methodology repeatable processes work closely design business technical counterparts across ag practice areas explore industry trends share team qualifications years experience working advertising design consulting agency experience executing large scale website launches ability solve complex development problems produce highest quality code pushing boundaries online applications solid understanding wc accessibility guidelines ability work quickly strong attention detail accuracy processoriented ability work different ui materials rapid prototyping"
"319"," client developer corporate employee incentives travel mastercard seeking freelance fulltime web designer front end development skills responsibilities will include designing look layout features multiple responsive websites emails creating testing developing websites applications components candidate will work directly back end developers qualified candidates must following proficiency html css javascript jquery photoshop familiarity php templating systems familiarity version control svn proficiency converting psd compositions html css markup ability integrate audio video knowledge drupals theme layer site building plus"
"320","job objective implement websites client cms ecommerce responsibilities design create frontend web sites using clients website convert design files relevant markup html css javascript design visual elements new existing websites implement frontend interactivity html javascript manage content web sites primarily development phase sites knowledge skills excellent knowledge html css good working knowledge javascript good working knowledge javascript libraries jquery graphical design skills proficiency implementing responsive design mobile knowledge cms systems plus experience net specializing web development aspnet c vb plus ideal candidate will possess following selfmotivated work small dynamic environment without constant supervision passionate web technologies bachelors degree similar work experience required qualified interested candidates please click apply immediate consideration"
"321","job description largest clients digital marketing group seeking senior level front end developer join lead team digital marketing division unique dynamic group individuals work many innovative initiatives across areas nationwide company housed madison wisconsin wi team working revolutionize web experience within industry using cutting edge tools techniques will influence areas digital marketing including web experience internal external customers social media facebook twitter pinterist vine youtube mobile experience internal external customers function recreational customer support applications including account management safety tips contests even gaming well special projects throughout company addition maintaining directives qualified candidate will sharp talented afraid pushing imagination introduce new fast innovating ways making companys digital experience second none key qualifications senior level front end developer passion cutting edge front end technologies html css sassless javascript js libraries frameworks senior level mobile web development experience working htmlcss using responsive design frameworksboilerplates foundation bootstrap skeleton html boilerplate senior level javascript development skills jquery extjs angularjs backbonejs emberjs solid understanding browsers parse render paint web pages follows best practices develop fast loading pages experience managing javascript overhead requirejs uglifyjs closure compiler experience css preprocessors sass less experience serverside javascript nodejs experience using restful services http apis facebook connect twitter paypal etc experience git svn modern version control systems experience unit testing junit codelevel documentation new tasks refactors preferred qualifications experienceexposure phpmysql lamp environment working php based cms blogging platforms phpcake expression engine drupal joomla croogo wordpress"
"322"," well established full service advertising agency niche market kept us growing consistently past years offer challenging hands work chance work projects concept completion need position must provide online portfolio considered strong website design skills indesign illustrator photoshop experience crossbrowser crossplatform issues strong javascript skills coupled html css proficiency following skills plus wordpress cms mysql flash action script xml working top clients design websites concept completion working closely director interactive media implement advertising strategies clients working multiple projects including websites banner ads eblasts hands experience niche advertising company great compensation"
"323","description work senior front end web developer will handson leadership position technical teams internal clients solid ability develop latest frontend html css javascript jquery technologies also able effectively communicate people varying degrees technical expertise will programming backend understanding collaborate internal clients define prioritize annual plans develop frontend code timely high quality manner ensuring consistent look feel design build test maintain scalable stable web solutions meet business needs manage drive implementation planned web projects throughout project lifecycle translate business goals technical requirements conduct codedesign reviews identify dependencies work adjacent development teams implement integrated technical solutions leverage site standards including site structure page templates navigation partner creative services usability develop effectiveengaging designs ensure designs use standard templates navigation fit sites information architecture collaborate adjacent teams conduct b multivariate tests maximize user experience traffic conversion help daytoday operational tasks required skills bsba degree least years professional work experience ms degree required including years webrelated position experience coding frontend standardscompliant htmlcss scalable crossbrowser compatible strong knowledge web project lifecycle including frontend backend development experience managing complex web projects initiation launch successful track record interfacing communicating effectively across crossfunctional teams experience working content management systems cms ability juggle several projects simultaneously meet deadlines paying strong attention details solid knowledge usability design best practices pluses familiarity search engine optimization seo familiarity web analytics google analytics omniture etc knowledge responsive web design progressive enhancement please include urls web portfolio resume "
"324","front end developer organizational overview philadelphia eagles known one progressive organizations professional sports come considered one storied sports franchises history organization philadelphia eagles exciting demanding place work fueled passion dedication commitment community eagles youth partnership lincoln financial field one premier sports entertainment facilities united states addition home philadelphia eagles stadium plays host numerous events providing unmatched spectator experience fans lincoln financial field maintained managed professionals working together provide highest quality sports entertainment experience safe clean friendly environment position reporting front end developer will report director digital social media position summary responsible assisting development maintenance websites applications simple frontend code backend integrations collaborate creative content teams turn visual designs functional digital asset deliverables desired competencies integrity values can trusted act manner truthful values direct honest communication levels organization leadership motivating influencing supporting others accomplish team organizational goals builds trust keeping word commitments promises operations management application specialized knowledge laws procedures practices relevant managing executing programs operational environment communication makes clear convincing presentations individuals groups listens effectively clarifies information needed facilitates open exchange ideas fosters atmosphere open communication teamwork collaborating cooperating across departments get job done ability work well communicate effectively levels organization values input knowhow team members decision making exercises good judgment making sound wellinformed decisions perceives impact implications decisions makes effective timely decisions even data limited solutions produce unpleasant consequences proactive achievement oriented problem solving identifies analyzes problems distinguishes relevant irrelevant information make logical decisions provides solutions individual organizational problems qualifications years coding experience including mobile responsive background agency within marketing environment plus least years web design experience ability demonstrate superior visual user interface interaction design skills mobile experience plus proven history design websites use dxhtml css javascript solid frontend development skills required htmlcss familiarity web standards developing designs multiple browsers platforms knowledgeable html css jquery javascript xml social media api integrations preferably experience php mysql knack debugging code performing qc nearfinal projects ability selforganize manage projects within time budget constraints strong attention detail ability focus managing multiple tasks across multiple clients high pressure situations photoshop skills plus email coding experience preferred experience wordpress site implementation maintenance preferred bachelors degree please apply link must include salary requi"
"325","job description responsibilities will part small team responsible front end development integration backend will also take part decisions technologies used usability aspects ux design formulation look feel part small software development team will opportunity contribute additional areas based need level interest required skills years frontend web development expert level knowledge javascript html css xml json experience javascript libraries jquery prototype dojo yahoo ui working experience ajax technologies familiarity one following technologies node backbone ember angular experience designing webbased software products saas familiarity software development lifecycle experience working agile environment proven ability work fastpaced startup environment passion designing highly usable user interfaces excellent communication skills positive attitude"
"326","job description client currently seeking user interface architect experience concept design development web mobile experiences architect will grounded visual design user experience passionate great products responsibilities âcreate effective remarkable user interface design graphics websites web mobile applications initial concepts final assets âexecute guide deliverables project including user testing wire framing prototyping final production specifications âwork creative technical members project team balance creative objectives business needs technical requirements âwork project team share information develop best practices skills â years experience uiux designer major application web mobile projects providing production ready assets âstrong knowledge general design principles layout color fonts proportion brand interaction behaviors etc âknowledge experience usercentric design approaches best practices âhigh level crossplatform knowledge design patterns frameworks web htmlcss etc mobile ios android etc âexpert knowledge software tools photoshop illustrator visio omnigraffle ms word âexperience working team including product managers engineers business stakeholders âstrong written oral communication skills ability multitask establish priorities meet tight deadlines"
"327"," ui architect years experience please read wellfunded start information update industry located new york city ny website helps cut time takes request address change relocation services looking ui architect join team must expertlevel knowledge html css javascript jquery will implementing architecting user interface features applications requirements least years professional experience front end development extensive experience xhtml html css javascript jquery must able make quick accurate decisions evolving environment must able maintain design user experience brand requirements throughout development process able mentor junior developers exposure java scala big plus competitive salary paid vacation holidays stock options ui architect years experience please apply today must authorized work united states fulltime basis employer"
"328","today re largest cloudbased software provider health wellness beauty industries like speed technology re blazing ahead toward limitless possibilities due explosive success re looking amazing senior uiux visual designer full time position sunny san luis obispo office happiest city america according oprah need position created designs web apps mobile apps highly regarded stunning design usability interface designer can demonstrate ability take interaction design concept translate productionready mockups assets icons platforms including desktop web mobile apps expert knowledge photoshop thorough understanding graphic design principles including screen layout color theory typography applies final app interactions great online portfolio showcasing work htmlcssjs knowledge preferred required experience within agile scrum development team preferred required will add designs pattern library keeping library updated maintained will create mockups wireframes usability studies participated colleagues observing analyzing usability studies team will participate design critiques humble positive attitude will use feedback design critiques usability tests rapidly iterated multiple design ideas get best possible solution"
